DN,SurfaceTemp,Temperature,SurfaceSalCorrected,Salinity,dayDN,dailyAverage,oceanSalEstimate,AvgEstimatedTemp
2013-11-13 16:50:00,11.25,11.41,32.27949654881599,31.11709974378078,2013-11-13,11.970833333333333,31.698298146298384,11.543611111111112
2013-11-14 15:25:00,11.07,11.41,32.48329167277469,31.11709974378078,2013-11-14,11.808333333333332,31.800195708277734,11.429444444444444
2013-11-15 17:25:00,10.99,10.98,32.445955014331325,31.17486363366475,2013-11-15,11.795833333333334,31.810409323998037,11.255277777777778
2013-11-16 17:25:00,10.95,10.98,32.299778000193086,31.17486363366475,2013-11-16,11.604166666666666,31.737320816928918,11.178055555555554
2013-11-17 17:50:00,11.029999999999998,10.98,32.31012961430923,30.99111543292786,2013-11-17,11.895833333333334,31.650622523618544,11.301944444444445
2013-11-18 18:50:00,11.11,11.2,32.11805399128389,31.06248615421896,2013-11-18,12.329166666666667,31.590270072751423,11.54638888888889
2013-11-19 08:25:00,11.29,11.25,31.728893054573994,30.816580495292463,2013-11-19,12.391666666666667,31.27273677493323,11.643888888888888
2013-11-20 10:05:00,10.75,11.57,32.13461967200962,30.489308201642388,2013-11-20,12.029166666666667,31.311963936826004,11.449722222222222
2013-11-21 11:35:00,10.34,10.98,32.40214977329372,30.90748018528808,2013-11-21,11.166666666666666,31.6548149792909,10.828888888888889
2013-11-22 11:50:00,9.790000008381902,10.51,32.59619830682884,31.05991038290121,2013-11-22,10.645833333333334,31.828054344865023,10.315277780571746
2013-11-23 12:55:00,10.16,9.6,32.46795067024154,31.06860125281121,2013-11-23,10.725,31.768275961526378,10.161666666666667
2013-11-24 13:55:00,9.98,10.02,32.45015281804746,31.118437338782805,2013-11-24,10.495833333333334,31.78429507841513,10.165277777777778
2013-11-25 14:20:00,9.97,10.21,32.443554135293795,31.039062096463223,2013-11-25,11.416666666666666,31.74130811587851,10.532222222222222
2013-11-26 14:40:00,10.09,10.21,32.31757187590244,31.039062096463223,2013-11-26,11.4375,31.67831698618283,10.579166666666667
2013-11-27 15:40:00,10.06,10.279999998994173,32.31951043946011,30.9531946834619,2013-11-27,11.379166666666668,31.636352561461003,10.57305555522028
2013-11-28 15:55:00,10.01,10.279999998994173,32.329993537838064,30.9531946834619,2013-11-28,10.770833333333334,31.641594110649983,10.353611110775836
2013-11-29 16:05:00,9.93,10.15,32.2563136360881,30.96017539463592,2013-11-29,10.475,31.60824451536201,10.185
2013-11-30 17:45:00,10.13,10.189999999999998,32.21387623320583,30.983245495205285,2013-11-30,10.425,31.59856086420556,10.248333333333333
2013-12-01 05:30:00,10.17,10.189999999999998,32.13221475532257,30.983245495205285,2013-12-01,10.575000000000001,31.55773012526393,10.311666666666667
