YY,MM,DD,hh,mm,WTMP
2012,12,24,11,50,11.1
2012,12,24,12,50,11.1
2012,12,24,13,50,11.1
2012,12,24,14,50,11.1
2012,12,24,15,50,11.1
2012,12,24,16,50,11.1
2012,12,24,17,50,11.1
2012,12,24,18,50,11.1
2012,12,24,19,50,11.1
2012,12,24,20,50,11.1
2012,12,24,21,50,11.2
2012,12,24,22,50,11.2
2012,12,24,23,50,11.2
2012,12,25,00,50,11.2
2012,12,25,01,50,11.1
2012,12,25,02,50,11.1
2012,12,25,03,50,11.1
2012,12,25,04,50,11.1
2012,12,25,05,50,11.1
2012,12,25,06,50,11.1
2012,12,25,07,50,11.1
2012,12,25,08,50,11.1
2012,12,25,09,50,11.1
2012,12,25,10,50,11.1
2012,12,25,11,50,11.1
2012,12,25,12,50,11.1
2012,12,25,13,50,11.1
2012,12,25,14,50,11.1
2012,12,25,15,50,11.1
2012,12,25,16,50,11.1
2012,12,25,17,50,11.0
2012,12,25,18,50,10.8
2012,12,25,19,50,10.8
2012,12,25,20,50,10.8
2012,12,25,21,50,10.8
2012,12,25,22,50,10.8
2012,12,25,23,50,10.8
2012,12,26,00,50,10.9
2012,12,26,01,50,10.9
2012,12,26,02,50,10.9
2012,12,26,03,50,10.8
2012,12,26,04,50,10.8
2012,12,26,05,50,10.8
2012,12,26,06,50,10.8
2012,12,26,07,50,10.8
2012,12,26,08,50,10.8
2012,12,26,09,50,10.7
2012,12,26,10,50,10.7
2012,12,26,11,50,10.7
2012,12,26,12,50,10.8
2012,12,26,13,50,10.7
2012,12,26,14,50,10.7
2012,12,26,15,50,10.7
2012,12,26,16,50,10.8
2012,12,26,17,50,10.7
2012,12,26,18,50,10.8
2012,12,26,19,50,10.8
2012,12,26,20,50,10.8
2012,12,26,21,50,10.7
2012,12,26,22,50,10.7
2012,12,26,23,50,10.7
2012,12,27,00,50,10.7
2012,12,27,01,50,10.7
2012,12,27,02,50,10.7
2012,12,27,03,50,10.8
2012,12,27,04,50,10.8
2012,12,27,05,50,10.8
2012,12,27,06,50,10.8
2012,12,27,07,50,10.8
2012,12,27,08,50,10.7
2012,12,27,09,50,10.6
2012,12,27,10,50,10.6
2012,12,27,11,50,10.6
2012,12,27,12,50,10.6
2012,12,27,13,50,10.7
2012,12,27,14,50,10.6
2012,12,27,15,50,10.6
2012,12,27,16,50,10.6
2012,12,27,17,50,10.7
2012,12,27,18,50,10.7
2012,12,27,19,50,10.7
2012,12,27,20,50,10.7
2012,12,27,21,50,10.7
2012,12,27,22,50,10.7
2012,12,27,23,50,10.7
2012,12,28,00,50,10.7
2012,12,28,01,50,10.7
2012,12,28,02,50,10.7
2012,12,28,03,50,10.7
2012,12,28,04,50,10.7
2012,12,28,05,50,10.8
2012,12,28,06,50,10.7
2012,12,28,07,50,10.7
2012,12,28,08,50,10.7
2012,12,28,09,50,10.7
2012,12,28,10,50,10.7
2012,12,28,11,50,10.7
2012,12,28,12,50,10.7
2012,12,28,13,50,10.6
2012,12,28,14,50,10.6
2012,12,28,15,50,10.6
2012,12,28,16,50,10.7
2012,12,28,17,50,10.7
2012,12,28,18,50,10.7
2012,12,28,19,50,10.7
2012,12,28,20,50,10.7
2012,12,28,21,50,10.8
2012,12,28,22,50,10.8
2012,12,28,23,50,10.8
2012,12,29,00,50,10.8
2012,12,29,01,50,10.8
2012,12,29,02,50,10.8
2012,12,29,03,50,10.8
2012,12,29,04,50,10.8
2012,12,29,05,50,10.8
2012,12,29,06,50,10.8
2012,12,29,07,50,10.7
2012,12,29,08,50,10.7
2012,12,29,09,50,10.7
2012,12,29,10,50,10.7
2012,12,29,11,50,10.7
2012,12,29,12,50,10.6
2012,12,29,13,50,10.6
2012,12,29,14,50,10.6
2012,12,29,15,50,10.6
2012,12,29,16,50,10.6
2012,12,29,17,50,10.6
2012,12,29,18,50,10.6
2012,12,29,19,50,10.6
2012,12,29,20,50,10.7
2012,12,29,21,50,10.7
2012,12,29,22,50,10.6
2012,12,29,23,50,10.6
2012,12,30,00,50,10.6
2012,12,30,01,50,10.6
2012,12,30,02,50,10.6
2012,12,30,03,50,10.6
2012,12,30,04,50,10.6
2012,12,30,05,50,10.6
2012,12,30,06,50,10.6
2012,12,30,07,50,10.6
2012,12,30,08,50,10.5
2012,12,30,09,50,10.5
2012,12,30,10,50,10.6
2012,12,30,11,50,10.6
2012,12,30,12,50,10.7
2012,12,30,13,50,10.7
2012,12,30,14,50,10.7
2012,12,30,15,50,10.7
2012,12,30,16,50,10.7
2012,12,30,17,50,10.7
2012,12,30,18,50,10.7
2012,12,30,19,50,10.7
2012,12,30,20,50,10.8
2012,12,30,21,50,10.8
2012,12,30,22,50,10.8
2012,12,30,23,50,10.8
2012,12,31,00,50,10.8
2012,12,31,01,50,10.8
2012,12,31,02,50,10.7
2012,12,31,03,50,10.7
2012,12,31,04,50,10.7
2012,12,31,05,50,10.7
2012,12,31,06,50,10.7
2012,12,31,07,50,10.7
2012,12,31,08,50,10.7
2012,12,31,09,50,10.7
2012,12,31,10,50,10.8
2012,12,31,11,50,10.7
2012,12,31,12,50,10.7
2012,12,31,13,50,10.7
2012,12,31,14,50,10.7
2012,12,31,15,50,10.7
2012,12,31,16,50,10.7
2012,12,31,17,50,10.7
2012,12,31,18,50,10.7
2012,12,31,19,50,10.6
2012,12,31,20,50,10.6
2012,12,31,21,50,10.6
2012,12,31,22,50,10.6
