DN,BottomTemp,Temperature,BottomSalCorrected,Salinity,dayDN,dailyAverage,AvgEstimatedTemp,oceanSalEstimate
2013-02-27 21:35:00,9.04050145271899,8.810000000335277,30.375697578828373,30.421392764019,2013-02-27,9.012500000000001,8.954333817684756,30.398545171423685
2013-02-28 10:10:00,9.090025353686446,8.88,30.447661720904783,30.31577806206905,2013-02-28,9.012500000000001,8.994175117895482,30.381719891486917
2013-03-01 00:20:00,9.310874702650054,8.88,29.60778475637944,30.31577806206905,2013-03-01,9.012500000000001,9.06779156755002,29.961781409224244
2013-03-02 13:15:00,9.243493405662736,9.02,29.765332943456038,29.75519257937633,2013-03-02,8.979166666666666,9.080886690776467,29.760262761416186
2013-03-03 12:00:00,9.12866047242928,9.02,29.313659326702595,29.75519257937633,2013-03-03,8.875,9.007886824143092,29.534425953039463
2013-03-04 00:00:00,9.598462549034176,9.52,24.197332216335365,29.9187154452254,2013-03-04,8.833333333333334,9.317265294122505,27.05802383078038
2013-03-09 18:35:00,9.132234899016025,8.559999999664724,30.27749563580633,28.302639981898167,2013-03-09,9.145833333333334,8.946022744004694,29.29006780885225
2013-03-10 07:10:00,8.993046774476586,8.559999999664724,30.623886816663077,28.302639981898167,2013-03-10,9.117391304347825,8.890146026163045,29.46326339928062
2013-03-11 08:15:00,9.118400765949032,8.75,30.56087165988581,30.12965750714611,2013-03-11,9.058333333333334,8.975578033094122,30.34526458351596
2013-03-12 08:30:00,9.283206326934772,8.929999999664723,30.47076915754303,30.626283965132565,2013-03-12,9.129166666666666,9.114124331088721,30.5485265613378
2013-03-13 21:00:00,9.939874423244095,9.430000000670551,29.818197755559087,30.35549107420704,2013-03-13,9.154166666666667,9.508013696860438,30.086844414883064
2013-03-14 09:00:00,9.752217679541191,9.730000001341104,29.71695208761537,29.719167396729343,2013-03-14,9.216666666666667,9.566294782516321,29.718059742172358
2013-03-15 00:35:00,10.033177729663148,9.730000001341104,29.65698864794012,29.719167396729343,2013-03-15,9.25,9.671059243668084,29.688078022334732
2013-03-16 10:35:00,10.071196434295077,9.719999999329447,29.6642,29.315553846596256,2013-03-16,9.3125,9.701232144541509,29.489876923298127
2013-03-17 10:40:00,9.530669770050702,9.719999999329447,29.642927766638397,29.315553846596256,2013-03-17,9.129166666666666,9.459945478682272,29.479240806617327
2013-03-18 00:35:00,10.250436286589252,10.24,29.716933940739057,29.729996091820105,2013-03-18,9.2875,9.925978762196417,29.723465016279583
2013-03-19 02:00:00,10.180395217577829,10.24,29.532928362404014,29.729996091820105,2013-03-19,9.033333333333333,9.817909516970387,29.63146222711206
2013-03-21 17:25:00,9.390886333408748,9.190000000335276,25.683307336548754,29.44900695685869,2013-03-21,9.017391304347827,9.19942587936395,27.566157146703723
2013-03-22 05:30:00,9.390109666614284,9.190000000335276,30.814161666873154,29.44900695685869,2013-03-22,8.991666666666667,9.19059211120541,30.13158431186592
2013-03-23 17:50:00,9.004301666657057,9.190000000335276,31.319798333342188,29.44900695685869,2013-03-23,9.016666666666667,9.070322777886332,30.384402645100437
2013-03-24 07:05:00,9.228478000117391,9.190000000335276,31.386279333446208,29.44900695685869,2013-03-24,9.2125,9.210326000150888,30.417643145152446
2013-03-25 19:25:00,9.462863666318292,9.470000000335276,31.4137560002398,31.38476220264464,2013-03-25,9.295833333333333,9.409565666662301,31.39925910144222
2013-03-26 06:00:00,9.47022333320738,9.470000000335276,31.194117333779563,31.38476220264464,2013-03-26,9.358333333333333,9.432852222291997,31.2894397682121
2013-03-27 08:10:00,9.351202333320684,9.43,30.98419933333679,31.12098634141908,2013-03-27,9.291666666666666,9.357622999995783,31.052592837377937
2013-03-28 20:15:00,9.848817999902836,10.09,31.13581633378496,30.858902570012773,2013-03-28,9.558333333333334,9.83238377774539,30.997359451898866
2013-03-29 07:20:00,9.941576332919446,10.09,30.7568643335226,30.858902570012773,2013-03-29,9.545833333333333,9.859136555417592,30.807883451767687
2013-03-30 00:00:00,10.674229667586117,10.010000000670551,25.522512333806556,30.927156365280453,2013-03-30,9.741666666666667,10.141965444974446,28.224834349543507
2013-03-30 10:20:00,,9.390000000670554,,31.58799657428123,2013-03-30,9.741666666666667,9.93529877830778,28.555254454043894
2013-03-31 10:35:00,,9.34,,31.66730748206487,2013-03-31,9.9,9.971409889195371,28.594909907935715
2013-04-01 00:15:00,,10.589999999664723,,31.063223020386705,2013-04-01,9.91304347826087,10.392424381837236,28.29286767709663
2013-04-02 00:35:00,,10.58,,30.745577833387618,2013-04-02,10.165217391304349,10.473149019630155,28.134045083597087
2013-04-03 13:30:00,,10.38,,30.798891404859088,2013-04-03,10.445833333333333,10.500021000306484,28.160701869332822
2013-04-04 03:50:00,,10.94000000167638,,30.30032304253623,2013-04-04,10.275,10.6297432230875,27.911417688171394
