DN,ModelTemp,TempDiff,OriginalTemp
2013-01-25 20:40:00,6.7131947056612145,-0.023194705661214066,6.69
2013-01-25 20:45:00,6.647823256771415,-0.027823256771414506,6.62
2013-01-25 20:49:59,6.5507859451687835,-0.040785945168783755,6.51
2013-01-25 20:55:00,6.510205268422425,-0.040205268422425,6.47
2013-01-25 21:00:00,6.632587120666798,-0.15258712066679792,6.48
2013-01-25 21:05:00,6.756034574066921,-0.0460345740669208,6.71
2013-01-25 21:10:00,6.6367448980216865,-0.11674489802168697,6.52
2013-01-25 21:15:00,6.724790421906713,-0.09479042190671283,6.63
2013-01-25 21:20:00,6.598969763545723,-0.07896976354572338,6.52
2013-01-25 21:25:00,6.539679270237329,-0.12967927023732884,6.41
2013-01-25 21:30:00,6.546790891870235,-0.04679089187023511,6.5
2013-01-25 21:34:59,6.635344034895824,-0.0853440348958241,6.55
2013-01-25 21:40:00,6.667369749199322,-0.08736974919932194,6.58
2013-01-25 21:45:00,6.737654944666605,-0.07765494466660527,6.66
2013-01-25 21:50:00,6.7115450062718,-0.11154500627180042,6.6
2013-01-25 21:55:00,6.676090435995266,-0.1560904359952664,6.52
2013-01-25 22:00:00,6.725389700919688,-0.1253897009196887,6.6
2013-01-25 22:05:00,6.725896447993051,-0.10589644799305109,6.62
2013-01-25 22:10:00,6.754749688208025,-0.0847496882080252,6.67
2013-01-25 22:15:00,6.757025481056922,-0.08702548105692198,6.67
2013-01-25 22:19:59,6.743281960568667,-0.05328196056866652,6.69
2013-01-25 22:25:00,6.743535231553689,-0.04353523155368855,6.7
2013-01-25 22:30:00,6.747308794373525,-0.05730879437352421,6.69
2013-01-25 22:35:00,6.754541873259071,-0.044541873259070996,6.71
2013-01-25 22:40:00,6.747888462882122,-0.017888462882121203,6.73
2013-01-25 22:45:00,6.776571699036715,-0.006571699036715728,6.77
2013-01-25 22:50:00,6.760529107845071,-0.02052910784507045,6.74
2013-01-25 22:55:00,6.798951492026915,0.02104850797308533,6.82
2013-01-25 23:00:00,6.808991444826409,0.11100855517359065,6.92
2013-01-25 23:04:59,6.837590174698633,0.02240982530136737,6.86
2013-01-25 23:10:00,6.839844974306567,0.05015502569343244,6.89
2013-01-25 23:15:00,6.844041344020324,0.10595865597967613,6.95
2013-01-25 23:20:00,6.856813773665541,0.09318622633445894,6.95
2013-01-25 23:25:00,6.835883235020779,0.09411676497922095,6.93
2013-01-25 23:30:00,6.974538608021354,0.10546139197864601,7.08
2013-01-25 23:35:00,6.857138146162492,0.14286185383750816,7.0
2013-01-25 23:40:00,6.975327159314956,0.13467284068504437,7.11
2013-01-25 23:45:00,6.943979807701718,0.19602019229828205,7.14
2013-01-25 23:49:59,6.933673577674557,0.21632642232544352,7.15
2013-01-25 23:55:00,6.954452290506763,0.19554770949323697,7.15
2013-01-26 00:00:00,7.18342468426655,-0.06342468426654957,7.12
2013-01-26 00:05:00,7.1052613434232,0.034738656576799976,7.14
2013-01-26 00:10:00,7.0952976064565725,-0.01529760645657241,7.08
2013-01-26 00:15:00,7.061257179654284,0.07874282034571589,7.14
2013-01-26 00:20:00,7.033516417629357,0.04648358237064265,7.08
2013-01-26 00:25:00,7.007273649685963,-0.05727364968596316,6.95
2013-01-26 00:30:00,6.954667694608802,-0.1346676946088019,6.82
2013-01-26 00:34:59,6.920919953608159,-0.12091995360815933,6.8
2013-01-26 00:40:00,6.900155534646947,-0.190155534646947,6.71
2013-01-26 00:45:00,6.8976449638659645,-0.16764496386596406,6.73
2013-01-26 00:50:00,6.874174475570547,-0.21417447557054725,6.66
2013-01-26 00:55:00,6.847530820243916,-0.2475308202439166,6.6
2013-01-26 01:00:00,6.838559378626154,-0.2185593786261535,6.62
2013-01-26 01:05:00,6.821659558639928,-0.22165955863992792,6.6
2013-01-26 01:10:00,6.8054644615927815,-0.21546446159278165,6.59
2013-01-26 01:15:00,6.790863379034484,-0.2008633790344838,6.59
2013-01-26 01:19:59,6.782749026251632,-0.18274902625163225,6.6
2013-01-26 01:25:00,6.775142352229618,-0.15514235222961759,6.62
2013-01-26 01:30:00,6.774762977820913,-0.12476297782091272,6.65
2013-01-26 01:35:00,6.775582723971875,-0.14558272397187544,6.63
2013-01-26 01:40:00,6.773826255138043,-0.08382625513804243,6.69
2013-01-26 01:45:00,6.754617584046903,-0.09461758404690279,6.66
2013-01-26 01:50:00,6.731971547421345,-0.1019715474213454,6.63
2013-01-26 01:55:00,6.714783040689138,-0.12478304068913815,6.59
2013-01-26 02:00:00,6.689260896446033,-0.10926089644603287,6.58
2013-01-26 02:04:59,6.672461033688583,-0.13246103368858275,6.54
2013-01-26 02:10:00,6.64944042888292,-0.1094404288829196,6.54
2013-01-26 02:15:00,6.636230603204092,-0.12623060320409252,6.51
2013-01-26 02:20:00,6.626264447462119,-0.14626444746211842,6.48
