dayDN,surfaceRiver,bottomRiver,EstimatedTemp,plot_date
2013-01-06,7.1470430105598135,7.021034227622463,7.084038619091139,2013-01-06 12:00:00
2013-01-07,7.633040935531346,7.484674957920599,7.558857946725972,2013-01-07 12:00:00
2013-01-08,8.16470270269183,8.0512498368513,8.107976269771566,2013-01-08 12:00:00
2013-01-09,8.56164383557051,8.50628229047089,8.5339630630207,2013-01-09 12:00:00
2013-01-10,7.419086956556725,8.23272106892787,7.825904012742297,2013-01-10 12:00:00
2013-01-11,6.1666260162151865,6.7668767221731185,6.466751369194153,2013-01-11 12:00:00
2013-01-12,5.515731707341607,5.882471603343322,5.6991016553424645,2013-01-12 12:00:00
2013-01-13,4.979035087735474,5.480485500215619,5.229760293975547,2013-01-13 12:00:00
2013-01-14,4.224692982462022,4.641140578627751,4.432916780544886,2013-01-14 12:00:00
2013-01-15,4.593558558714113,4.578200222939024,4.585879390826569,2013-01-15 12:00:00
2013-01-16,4.787248908412606,4.703450579550619,4.745349743981613,2013-01-16 12:00:00
2013-01-17,4.371796116477185,4.691336017925642,4.531566067201414,2013-01-17 12:00:00
2013-01-18,4.352849999996647,4.485885398329012,4.41936769916283,2013-01-18 12:00:00
2013-01-19,4.40905027936707,4.581528238529301,4.495289258948185,2013-01-19 12:00:00
2013-01-20,4.596422764096801,4.422387175741463,4.509404969919132,2013-01-20 12:00:00
2013-01-21,4.856363636058839,5.126234885572064,4.991299260815452,2013-01-21 12:00:00
2013-01-22,4.055352611489308,5.830082595402666,4.9427176034459865,2013-01-22 12:00:00
2013-01-23,3.906429278621596,6.696999397020245,5.30171433782092,2013-01-23 12:00:00
2013-01-24,5.230551329270322,5.972860738119884,5.601706033695104,2013-01-24 12:00:00
2013-01-25,6.554673379919048,5.248722079219522,5.901697729569285,2013-01-25 12:00:00
2013-01-26,6.237829009523306,6.126135802919783,6.181982406221545,2013-01-26 12:00:00
2013-01-27,6.597894736842105,6.4501224570854125,6.524008596963759,2013-01-27 12:00:00
2013-01-28,6.469186602859584,6.774109111251042,6.621647857055313,2013-01-28 12:00:00
2013-01-29,6.915766423298929,6.747313261227184,6.831539842263057,2013-01-29 12:00:00
2013-01-30,7.573437500019789,7.52816551088342,7.550801505451604,2013-01-30 12:00:00
2013-01-31,7.9756597222268795,7.952334147007894,7.963996934617387,2013-01-31 12:00:00
2013-02-01,8.136702508968986,8.328345580659228,8.232524044814106,2013-02-01 12:00:00
2013-02-02,7.6900000000100475,8.248470539802758,7.969235269906402,2013-02-02 12:00:00
2013-02-03,7.584330708698378,7.755676886817907,7.670003797758143,2013-02-03 12:00:00
2013-02-04,7.775240000063032,7.639798893944871,7.707519447003952,2013-02-04 12:00:00
2013-02-05,8.127251461996146,8.111013166164515,8.11913231408033,2013-02-05 12:00:00
2013-02-06,8.301896551721248,8.448975313728432,8.37543593272484,2013-02-06 12:00:00
2013-02-07,7.890882352990482,8.03013491478973,7.960508633890106,2013-02-07 12:00:00
2013-02-08,7.179830508429113,7.6112945158510295,7.395562512140071,2013-02-08 12:00:00
