Tm (UTC),Qnet,Qnet_clean,lowpass
2012-12-17 13:00:00,-167.67289317002246,-167.67289317002246,-136.46464099789722
2012-12-17 14:00:00,-199.88860482885048,-199.88860482885048,-139.6205467816192
2012-12-17 15:00:00,-243.9072900123258,-243.9072900123258,-142.52278293351236
2012-12-17 16:00:00,-249.2657168499144,-249.2657168499144,-145.14295117268978
2012-12-17 17:00:00,-166.60125249293318,-166.60125249293318,-147.4585312930963
2012-12-17 18:00:00,-115.2986269531568,-115.2986269531568,-149.45168057117837
2012-12-17 19:00:00,-46.037327678291575,-46.037327678291575,-151.10785159200702
2012-12-17 20:00:00,19.997055221840757,19.997055221840757,-152.41445599007875
2012-12-17 21:00:00,11.795753366878518,11.795753366878518,-153.35981575673804
2012-12-17 22:00:00,-30.525842329303217,-30.525842329303217,-153.93261051160638
2012-12-17 23:00:00,-114.84704500699601,-114.84704500699601,-154.12194983342144
2012-12-18 00:00:00,-171.0150985646611,-171.0150985646611,-153.91809109590812
2012-12-18 01:00:00,-228.45452852549442,-228.45452852549442,-153.31371269064434
2012-12-18 02:00:00,-168.20261187034833,-168.20261187034833,-152.30556775916222
2012-12-18 03:00:00,-201.60517185792878,-201.60517185792878,-150.8963005487164
2012-12-18 04:00:00,-219.06343559590735,-219.06343559590735,-149.09620468114971
2012-12-18 05:00:00,-217.2957711374271,-217.2957711374271,-146.9247263271865
2012-12-18 06:00:00,-150.4589012643056,-150.4589012643056,-144.41155210809535
2012-12-18 07:00:00,-178.8957764263986,-178.8957764263986,-141.59716484984364
2012-12-18 08:00:00,-167.71868240096438,-167.71868240096438,-138.5327957561409
2012-12-18 09:00:00,-173.34303277010434,-173.34303277010434,-135.27974317199875
2012-12-18 10:00:00,-168.15693759622502,-168.15693759622502,-131.90806240529648
2012-12-18 11:00:00,-154.59669714896236,-154.59669714896236,-128.49466041052113
2012-12-18 12:00:00,-146.2978983243318,-146.2978983243318,-125.12085766489155
2012-12-18 13:00:00,-131.68591207570654,-131.68591207570654,-121.86950840711006
2012-12-18 14:00:00,-132.30489146127152,-132.30489146127152,-118.82179765397477
2012-12-18 15:00:00,-118.7861760212169,-118.7861760212169,-116.05385663117268
2012-12-18 16:00:00,-120.62296719158107,-120.62296719158107,-113.63335627144428
2012-12-18 17:00:00,-109.16118537598499,-109.16118537598499,-111.61625153525314
2012-12-18 18:00:00,-46.310240142653626,-46.310240142653626,-110.04385822303769
2012-12-18 19:00:00,-29.37492234659011,-29.37492234659011,-108.94044789530864
2012-12-18 20:00:00,-2.346091365720053,-2.346091365720053,-108.31154121360726
2012-12-18 21:00:00,-16.741685410604333,-16.741685410604333,-108.14305831388513
2012-12-18 22:00:00,19.79934578838587,19.79934578838587,-108.40144140271285
2012-12-18 23:00:00,-23.94631547132967,-23.94631547132967,-109.03480039732436
2012-12-19 00:00:00,-107.70950046273806,-107.70950046273806,-109.97505327117567
2012-12-19 01:00:00,-199.7597667272914,-199.7597667272914,-111.14094845159892
2012-12-19 02:00:00,-130.58689575405742,-130.58689575405742,-112.44178157720663
2012-12-19 03:00:00,-125.83663262891832,-125.83663262891832,-113.7815704887037
2012-12-19 04:00:00,-142.66897560852883,-142.66897560852883,-115.06343943562851
2012-12-19 05:00:00,-148.01579106828177,-148.01579106828177,-116.19397784082864
2012-12-19 06:00:00,-155.57942418123162,-155.57942418123162,-117.0873633408332
2012-12-19 07:00:00,-154.69075056703238,-154.69075056703238,-117.66906291654999
2012-12-19 08:00:00,-170.34011090519382,-170.34011090519382,-117.87895006163814
2012-12-19 09:00:00,-179.06220708603493,-179.06220708603493,-117.67370345792409
2012-12-19 10:00:00,-189.85556709055803,-189.85556709055803,-117.02838513351666
2012-12-19 11:00:00,-169.40508240259223,-169.40508240259223,-115.93713439925266
2012-12-19 12:00:00,-156.3343219258451,-156.3343219258451,-114.41295866060045
2012-12-19 13:00:00,-154.69231396499285,-154.69231396499285,-112.48665219483487
2012-12-19 14:00:00,-138.89996707600048,-138.89996707600048,-110.20492503729866
2012-12-19 15:00:00,-111.11445892600857,-111.11445892600857,-107.62787134897526
2012-12-19 16:00:00,-69.53927029336337,-69.53927029336337,-104.82594669869947
2012-12-19 17:00:00,-48.34898987925071,-48.34898987925071,-101.87665394018661
2012-12-19 18:00:00,-33.74830816131107,-33.74830816131107,-98.86115370436588
2012-12-19 19:00:00,-14.32421091940654,-14.32421091940654,-95.86101327683731
2012-12-19 20:00:00,-21.13683759388447,-21.13683759388447,-92.9552848499062
2012-12-19 21:00:00,-29.29302161875346,-29.29302161875346,-90.2180632283133
2012-12-19 22:00:00,-35.7005316168002,-35.7005316168002,-87.71661950905856
2012-12-19 23:00:00,-28.745930516734884,-28.745930516734884,-85.5101477627601
2012-12-20 00:00:00,-42.35840374616293,-42.35840374616293,-83.64910255456216
2012-12-20 01:00:00,-176.3915212918745,-176.3915212918745,-82.17505062561335
2012-12-20 02:00:00,-140.07885971008358,-140.07885971008358,-81.12091439148797
2012-12-20 03:00:00,-143.65571719104858,-143.65571719104858,-80.51145612258198
2012-12-20 04:00:00,-115.03364819082562,-115.03364819082562,-80.3638495500553
2012-12-20 05:00:00,-110.53462354366191,-110.53462354366191,-80.68821170515511
2012-12-20 06:00:00,-96.35442041651868,-96.35442041651868,-81.48801071110779
2012-12-20 07:00:00,-81.76967396530162,-81.76967396530162,-82.76030941608647
2012-12-20 08:00:00,-64.33366006506373,-64.33366006506373,-84.49584040532164
2012-12-20 09:00:00,-86.46612007630422,-86.46612007630422,-86.67893198540895
2012-12-20 10:00:00,-63.71874606779507,-63.71874606779507,-89.28731708969184
2012-12-20 11:00:00,-90.10667549686517,-90.10667549686517,-92.29185910488293
2012-12-20 12:00:00,-120.99189408283853,-120.99189408283853,-95.65622348021128
2012-12-20 13:00:00,-142.8223315081957,-142.8223315081957,-99.33651618925141
2012-12-20 14:00:00,-163.1674287019862,-163.1674287019862,-103.28090543085024
2012-12-20 15:00:00,-170.2578790037166,-170.2578790037166,-107.42924784785453
2012-12-20 16:00:00,-134.66975641389976,-134.66975641389976,-111.71275959616186
2012-12-20 17:00:00,-120.07368529873366,-120.07368529873366,-116.05380519665708
2012-12-20 18:00:00,-84.96905226190307,-84.96905226190307,-120.36591641045456
2012-12-20 19:00:00,15.429144048482332,15.429144048482332,-124.5541881999934
2012-12-20 20:00:00,0.7268734021548457,0.7268734021548457,-128.51621655151507
2012-12-20 21:00:00,11.809558503319142,11.809558503319142,-132.14373184431872
2012-12-20 22:00:00,-16.092666471568496,-16.092666471568496,-135.32503416536508
2012-12-20 23:00:00,-70.39866356404366,-70.39866356404366,-137.94825557659016
2012-12-21 00:00:00,-96.40970037042777,-96.40970037042777,-139.90537203279456
2012-12-21 01:00:00,-185.68263180748428,-185.68263180748428,-141.09678335121333
2012-12-21 02:00:00,-222.57955516210808,-222.57955516210808,-141.43619126496293
