YY,MM,DD,hh,mm,WTMP
2013,01,21,13,50,9.3
2013,01,21,14,50,9.3
2013,01,21,15,50,9.3
2013,01,21,16,50,9.3
2013,01,21,17,50,9.3
2013,01,21,18,50,9.3
2013,01,21,19,50,9.4
2013,01,21,20,50,9.4
2013,01,21,21,50,9.4
2013,01,21,22,50,9.3
2013,01,21,23,50,9.3
2013,01,22,00,50,9.2
2013,01,22,01,50,9.2
2013,01,22,02,50,9.3
2013,01,22,03,50,9.3
2013,01,22,04,50,9.2
2013,01,22,05,50,9.2
2013,01,22,06,50,9.1
2013,01,22,07,50,9.1
2013,01,22,08,50,9.1
2013,01,22,09,50,9.1
2013,01,22,10,50,9.1
2013,01,22,11,50,9.1
2013,01,22,12,50,9.0
2013,01,22,13,50,9.1
2013,01,22,14,50,9.1
2013,01,22,15,50,9.0
2013,01,22,16,50,9.0
2013,01,22,17,50,9.0
2013,01,22,18,50,9.1
2013,01,22,19,50,9.1
2013,01,22,20,50,9.2
2013,01,22,21,50,9.2
2013,01,22,22,50,9.3
2013,01,22,23,50,9.3
2013,01,23,00,50,9.3
2013,01,23,01,50,9.2
2013,01,23,02,50,9.1
2013,01,23,03,50,9.1
2013,01,23,04,50,9.2
2013,01,23,05,50,9.2
2013,01,23,06,50,9.3
2013,01,23,07,50,9.3
2013,01,23,08,50,9.4
2013,01,23,09,50,9.4
2013,01,23,10,50,9.3
2013,01,23,11,50,9.3
2013,01,23,12,50,9.3
2013,01,23,13,50,9.3
2013,01,23,14,50,9.3
2013,01,23,15,50,9.3
2013,01,23,16,50,9.4
2013,01,23,17,50,9.6
2013,01,23,18,50,9.6
2013,01,23,19,50,9.5
2013,01,23,21,50,9.5
2013,01,23,22,50,9.6
2013,01,23,23,50,9.7
2013,01,24,00,50,9.6
2013,01,24,01,50,9.6
2013,01,24,02,50,9.6
2013,01,24,03,50,9.6
2013,01,24,04,50,9.6
2013,01,24,05,50,9.5
2013,01,24,06,50,9.5
2013,01,24,07,50,9.5
2013,01,24,08,50,9.5
2013,01,24,09,50,9.6
2013,01,24,10,50,9.5
2013,01,24,11,50,9.4
2013,01,24,12,50,9.3
2013,01,24,13,50,9.3
2013,01,24,14,50,9.3
2013,01,24,15,50,9.4
2013,01,24,16,50,9.6
2013,01,24,17,50,9.7
2013,01,24,18,50,9.7
2013,01,24,19,50,9.8
2013,01,24,20,50,9.8
2013,01,24,21,50,9.8
2013,01,24,22,50,9.8
2013,01,24,23,50,9.9
2013,01,25,00,50,9.9
2013,01,25,01,50,9.8
2013,01,25,02,50,9.8
2013,01,25,03,50,9.8
2013,01,25,04,50,9.8
2013,01,25,05,50,9.9
2013,01,25,06,50,9.9
2013,01,25,07,50,9.9
2013,01,25,08,50,9.8
2013,01,25,09,50,9.9
2013,01,25,10,50,9.9
2013,01,25,11,50,9.9
2013,01,25,12,50,10.0
2013,01,25,13,50,10.0
2013,01,25,14,50,10.0
2013,01,25,15,50,10.0
2013,01,25,16,50,10.0
2013,01,25,17,50,9.9
2013,01,25,18,50,9.9
2013,01,25,19,50,9.9
2013,01,25,20,50,9.8
2013,01,25,21,50,9.8
2013,01,25,22,50,9.8
2013,01,25,23,50,9.8
2013,01,26,00,50,9.8
2013,01,26,01,50,9.7
2013,01,26,02,50,9.7
2013,01,26,03,50,9.7
2013,01,26,04,50,9.7
2013,01,26,05,50,9.7
2013,01,26,06,50,9.7
2013,01,26,07,50,9.6
2013,01,26,08,50,9.6
2013,01,26,09,50,9.7
2013,01,26,10,50,9.7
2013,01,26,11,50,9.7
2013,01,26,12,50,9.7
2013,01,26,13,50,9.6
2013,01,26,14,50,9.6
2013,01,26,15,50,9.6
2013,01,26,16,50,9.5
2013,01,26,17,50,9.5
2013,01,26,18,50,9.6
2013,01,26,19,50,9.6
2013,01,26,20,50,9.6
2013,01,26,21,50,9.6
2013,01,26,22,50,9.6
2013,01,26,23,50,9.6
2013,01,27,00,50,9.6
2013,01,27,01,50,9.6
2013,01,27,02,50,9.6
2013,01,27,03,50,9.6
2013,01,27,04,50,9.5
2013,01,27,05,50,9.5
2013,01,27,06,50,9.5
2013,01,27,07,50,9.5
2013,01,27,08,50,9.5
2013,01,27,09,50,9.5
2013,01,27,10,50,9.4
2013,01,27,11,50,9.5
2013,01,27,12,50,9.5
2013,01,27,13,50,9.6
2013,01,27,14,50,9.6
2013,01,27,15,50,9.6
2013,01,27,16,50,
2013,01,27,17,50,9.6
2013,01,27,18,50,9.6
2013,01,27,19,50,9.6
2013,01,27,20,50,9.6
2013,01,27,21,50,9.6
2013,01,27,22,50,9.6
2013,01,27,23,50,9.6
2013,01,28,00,50,
2013,01,28,01,50,9.6
2013,01,28,02,50,9.6
2013,01,28,03,50,9.6
2013,01,28,04,50,9.6
2013,01,28,05,50,9.6
2013,01,28,06,50,9.6
2013,01,28,07,50,9.6
2013,01,28,08,50,9.6
2013,01,28,09,50,9.6
2013,01,28,10,50,9.6
2013,01,28,11,50,9.6
2013,01,28,12,50,9.6
2013,01,28,13,50,9.6
2013,01,28,14,50,9.6
2013,01,28,15,50,9.6
2013,01,28,16,50,9.6
2013,01,28,17,50,9.6
2013,01,28,18,50,9.6
2013,01,28,19,50,9.6
2013,01,28,20,50,9.6
2013,01,28,21,50,9.6
2013,01,28,22,50,9.6
2013,01,28,23,50,9.6
2013,01,29,00,50,9.6
2013,01,29,01,50,9.6
2013,01,29,02,50,9.6
2013,01,29,03,50,9.6
2013,01,29,04,50,9.6
2013,01,29,05,50,9.6
2013,01,29,06,50,9.6
2013,01,29,07,50,9.6
2013,01,29,08,50,9.6
2013,01,29,09,50,9.6
2013,01,29,10,50,9.6
2013,01,29,11,50,9.6
2013,01,29,12,50,9.6
2013,01,29,13,50,9.6
2013,01,29,14,50,9.6
2013,01,29,15,50,9.6
2013,01,29,16,50,9.6
2013,01,29,17,50,9.6
2013,01,29,18,50,9.6
2013,01,29,19,50,9.6
2013,01,29,20,50,9.6
2013,01,29,21,50,9.6
2013,01,29,22,50,9.6
2013,01,29,23,50,9.7
2013,01,30,00,50,9.6
2013,01,30,01,50,9.6
2013,01,30,02,50,9.6
2013,01,30,03,50,9.6
2013,01,30,04,50,9.6
2013,01,30,05,50,9.6
2013,01,30,06,50,9.6
2013,01,30,07,50,9.6
2013,01,30,08,50,9.6
2013,01,30,09,50,9.6
2013,01,30,10,50,9.6
2013,01,30,11,50,9.6
2013,01,30,12,50,9.6
2013,01,30,13,50,9.6
2013,01,30,14,50,9.6
2013,01,30,15,50,9.6
2013,01,30,16,50,9.6
2013,01,30,17,50,9.6
2013,01,30,18,50,
2013,01,30,19,50,9.6
2013,01,30,20,50,9.6
2013,01,30,21,50,9.6
2013,01,30,22,50,9.6
2013,01,30,23,50,9.7
2013,01,31,00,50,9.7
2013,01,31,01,50,9.6
2013,01,31,02,50,9.6
2013,01,31,03,50,9.6
2013,01,31,04,50,9.6
2013,01,31,05,50,9.6
2013,01,31,06,50,9.6
2013,01,31,07,50,9.5
2013,01,31,08,50,9.6
2013,01,31,09,50,9.5
2013,01,31,10,50,9.5
2013,01,31,11,50,9.5
2013,01,31,12,50,9.5
2013,01,31,13,50,9.5
2013,01,31,14,50,9.5
2013,01,31,15,50,9.5
2013,01,31,16,50,9.5
2013,01,31,17,50,9.6
2013,01,31,18,50,9.6
2013,01,31,19,50,9.8
2013,01,31,20,50,9.9
2013,01,31,21,50,9.9
2013,01,31,22,50,9.8
2013,01,31,23,50,9.8
2013,02,01,00,50,9.7
2013,02,01,01,50,9.7
2013,02,01,02,50,9.7
2013,02,01,03,50,9.7
2013,02,01,04,50,9.6
2013,02,01,05,50,9.6
2013,02,01,06,50,9.6
2013,02,01,07,50,9.6
2013,02,01,08,50,9.6
2013,02,01,09,50,9.6
2013,02,01,10,50,9.6
2013,02,01,11,50,9.6
2013,02,01,12,50,9.5
2013,02,01,13,50,9.2
2013,02,01,14,50,9.2
2013,02,01,15,50,9.3
2013,02,01,16,50,9.4
2013,02,01,17,50,9.5
2013,02,01,18,50,9.6
2013,02,01,19,50,9.6
2013,02,01,20,50,9.7
2013,02,01,21,50,9.7
2013,02,01,22,50,9.7
2013,02,01,23,50,9.7
2013,02,02,00,50,9.7
2013,02,02,01,50,9.6
2013,02,02,02,50,9.5
2013,02,02,03,50,9.4
2013,02,02,04,50,9.3
2013,02,02,05,50,9.3
2013,02,02,06,50,9.3
2013,02,02,07,50,9.3
2013,02,02,08,50,9.3
2013,02,02,09,50,9.2
2013,02,02,10,50,9.2
2013,02,02,11,50,9.2
2013,02,02,12,50,9.2
2013,02,02,13,50,9.2
2013,02,02,14,50,9.2
2013,02,02,15,50,9.3
2013,02,02,16,50,9.3
2013,02,02,17,50,9.3
2013,02,02,18,50,9.3
2013,02,02,19,50,9.4
2013,02,02,20,50,9.5
2013,02,02,21,50,9.5
2013,02,02,22,50,9.5
2013,02,02,23,50,9.5
2013,02,03,00,50,9.5
2013,02,03,01,50,9.6
2013,02,03,02,50,9.5
2013,02,03,03,50,9.5
2013,02,03,04,50,9.6
2013,02,03,05,50,9.6
2013,02,03,06,50,9.6
2013,02,03,07,50,9.6
2013,02,03,08,50,9.6
2013,02,03,09,50,9.7
2013,02,03,10,50,9.6
2013,02,03,11,50,9.6
2013,02,03,12,50,9.6
2013,02,03,13,50,9.5
2013,02,03,14,50,9.4
2013,02,03,15,50,9.4
2013,02,03,16,50,9.3
2013,02,03,17,50,9.3
2013,02,03,18,50,9.3
2013,02,03,19,50,9.4
2013,02,03,20,50,9.4
2013,02,03,21,50,9.5
2013,02,03,22,50,9.6
2013,02,03,23,50,9.5
2013,02,04,00,50,9.5
2013,02,04,01,50,9.6
2013,02,04,02,50,9.6
2013,02,04,03,50,9.6
2013,02,04,04,50,9.6
2013,02,04,05,50,9.5
2013,02,04,06,50,9.5
2013,02,04,07,50,9.4
2013,02,04,08,50,9.4
2013,02,04,09,50,9.4
2013,02,04,10,50,9.4
2013,02,04,11,50,9.4
2013,02,04,12,50,9.4
2013,02,04,13,50,9.4
2013,02,04,14,50,9.4
2013,02,04,15,50,9.4
2013,02,04,16,50,9.4
2013,02,04,17,50,9.4
2013,02,04,18,50,9.5
2013,02,04,19,50,9.6
2013,02,04,20,50,9.6
2013,02,04,21,50,9.6
2013,02,04,22,50,9.6
2013,02,04,23,50,9.6
2013,02,05,00,50,9.6
2013,02,05,01,50,9.6
2013,02,05,02,50,9.6
2013,02,05,03,50,9.6
2013,02,05,04,50,9.6
2013,02,05,05,50,9.6
2013,02,05,06,50,9.6
2013,02,05,07,50,9.6
2013,02,05,08,50,9.6
2013,02,05,09,50,9.6
2013,02,05,10,50,9.6
2013,02,05,11,50,9.6
2013,02,05,12,50,9.6
2013,02,05,13,50,9.6
2013,02,05,14,50,9.6
2013,02,05,15,50,9.6
2013,02,05,16,50,9.6
2013,02,05,17,50,9.6
2013,02,05,18,50,9.6
2013,02,05,19,50,9.6
2013,02,05,20,50,9.6
2013,02,05,21,50,9.6
2013,02,05,22,50,9.6
2013,02,05,23,50,9.6
2013,02,06,00,50,9.6
2013,02,06,01,50,9.6
2013,02,06,02,50,9.6
2013,02,06,03,50,9.6
2013,02,06,04,50,9.6
2013,02,06,05,50,9.6
2013,02,06,06,50,9.6
2013,02,06,07,50,9.6
2013,02,06,08,50,9.6
2013,02,06,09,50,9.6
2013,02,06,10,50,9.6
2013,02,06,11,50,9.6
2013,02,06,12,50,9.6
2013,02,06,13,50,9.6
2013,02,06,14,50,9.6
2013,02,06,15,50,9.6
2013,02,06,16,50,9.6
2013,02,06,17,50,9.6
2013,02,06,18,50,9.6
2013,02,06,19,50,9.6
2013,02,06,20,50,9.6
2013,02,06,21,50,9.6
2013,02,06,22,50,9.6
2013,02,06,23,50,9.6
2013,02,07,00,50,9.6
2013,02,07,01,50,9.6
2013,02,07,02,50,9.6
2013,02,07,03,50,9.6
2013,02,07,04,50,9.5
2013,02,07,05,50,9.5
2013,02,07,06,50,9.5
2013,02,07,07,50,9.5
2013,02,07,08,50,9.5
2013,02,07,09,50,9.5
2013,02,07,10,50,9.5
2013,02,07,11,50,9.5
2013,02,07,12,50,9.5
2013,02,07,13,50,9.5
2013,02,07,14,50,9.5
2013,02,07,15,50,9.5
2013,02,07,16,50,9.5
2013,02,07,17,50,9.4
2013,02,07,18,50,9.4
2013,02,07,19,50,9.4
2013,02,07,20,50,9.4
2013,02,07,21,50,9.4
2013,02,07,22,50,9.4
2013,02,07,23,50,9.4
2013,02,08,00,50,9.4
2013,02,08,01,50,9.4
2013,02,08,02,50,9.5
2013,02,08,03,50,9.5
2013,02,08,04,50,9.4
2013,02,08,05,50,9.4
2013,02,08,06,50,9.4
2013,02,08,07,50,9.4
2013,02,08,08,50,9.4
2013,02,08,09,50,9.4
2013,02,08,10,50,9.3
2013,02,08,11,50,9.3
2013,02,08,12,50,9.3
2013,02,08,13,50,9.3
2013,02,08,14,50,9.3
2013,02,08,15,50,9.3
2013,02,08,16,50,9.3
2013,02,08,17,50,9.3
2013,02,08,18,50,9.4
