date_day,surfaceRiver,bottomRiver,EstimatedTemp,plot_date
2014-02-20,8.485520833272798,8.359932934353443,8.42272688381312,2014-02-20 12:00:00
2014-02-21,8.89628472218264,8.779586508570636,8.837935615376638,2014-02-21 12:00:00
2014-02-22,8.46402777779524,8.767630404175593,8.615829090985416,2014-02-22 12:00:00
2014-02-23,7.755208333314708,8.06093182367983,7.9080700784972695,2014-02-23 12:00:00
2014-02-24,8.181006944390894,7.977510086147948,8.079258515269421,2014-02-24 12:00:00
2014-02-25,9.276145833353123,8.967249595987596,9.12169771467036,2014-02-25 12:00:00
2014-02-26,9.562345678995788,9.718451678673143,9.640398678834465,2014-02-26 12:00:00
2014-02-27,8.97196969692567,,8.97196969692567,2014-02-27 12:00:00
2014-02-28,9.046257668666405,,9.046257668666405,2014-02-28 12:00:00
2014-03-01,9.455074626878181,,9.455074626878181,2014-03-01 12:00:00
2014-03-02,9.695600000026822,,9.695600000026822,2014-03-02 12:00:00
2014-03-03,10.019290780137087,,10.019290780137087,2014-03-03 12:00:00
2014-03-04,10.05723484848485,,10.05723484848485,2014-03-04 12:00:00
2014-03-05,10.336280000045598,10.134957775744734,10.235618887895166,2014-03-05 12:00:00
2014-03-06,10.186805555627735,10.07411149151904,10.130458523573388,2014-03-06 12:00:00
2014-03-07,9.622291666587504,9.551986903869686,9.587139285228595,2014-03-07 12:00:00
2014-03-08,9.65152777775333,9.691740437919535,9.671634107836432,2014-03-08 12:00:00
2014-03-09,9.993576388878411,9.653117460293853,9.823346924586133,2014-03-09 12:00:00
2014-03-10,10.134236111106455,10.196777255591037,10.165506683348745,2014-03-10 12:00:00
2014-03-11,9.298819444359461,9.58183566796235,9.440327556160906,2014-03-11 12:00:00
2014-03-12,8.768298969079078,8.84161441810505,8.804956693592064,2014-03-12 12:00:00
