YY,MM,DD,hh,WTMP
2013,11,12,13,11.4
2013,11,12,14,11.7
2013,11,12,15,12
2013,11,12,16,12.1
2013,11,12,17,12.3
2013,11,12,18,12.1
2013,11,12,19,12
2013,11,12,20,11.8
2013,11,12,21,11.7
2013,11,12,22,11.6
2013,11,12,23,11.6
2013,11,13,0,11.6
2013,11,13,1,11.6
2013,11,13,2,11.7
2013,11,13,3,11.7
2013,11,13,4,11.9
2013,11,13,5,11.9
2013,11,13,6,11.9
2013,11,13,7,11.9
2013,11,13,8,12.3
2013,11,13,9,12.6
2013,11,13,10,12.8
2013,11,13,11,12.6
2013,11,13,12,12.6
2013,11,13,13,12.4
2013,11,13,14,12.1
2013,11,13,15,12
2013,11,13,16,11.8
2013,11,13,17,11.7
2013,11,13,18,11.7
2013,11,13,19,11.6
2013,11,13,20,11.6
2013,11,13,21,11.7
2013,11,13,22,11.8
2013,11,13,23,11.8
2013,11,14,0,11.9
2013,11,14,1,12.3
2013,11,14,2,12.3
2013,11,14,3,12.1
2013,11,14,4,12
2013,11,14,5,11.9
2013,11,14,6,11.6
2013,11,14,7,11.7
2013,11,14,8,11.7
2013,11,14,9,11.8
2013,11,14,10,11.7
2013,11,14,11,11.6
2013,11,14,12,11.6
2013,11,14,13,11.7
2013,11,14,14,11.7
2013,11,14,15,11.8
2013,11,14,16,11.8
2013,11,14,17,11.8
2013,11,14,18,11.8
2013,11,14,19,11.8
2013,11,14,20,11.8
2013,11,14,21,11.7
2013,11,14,22,11.7
2013,11,14,23,11.6
2013,11,15,0,11.7
2013,11,15,1,11.7
2013,11,15,2,11.8
2013,11,15,3,11.8
2013,11,15,4,11.9
2013,11,15,5,11.8
2013,11,15,6,11.8
2013,11,15,7,11.9
2013,11,15,8,11.9
2013,11,15,9,11.8
2013,11,15,10,11.8
2013,11,15,11,11.8
2013,11,15,12,11.8
2013,11,15,13,11.8
2013,11,15,14,11.7
2013,11,15,15,11.7
2013,11,15,16,11.8
2013,11,15,17,11.8
2013,11,15,18,11.8
2013,11,15,19,11.8
2013,11,15,20,11.8
2013,11,15,21,11.8
2013,11,15,22,11.8
2013,11,15,23,11.8
2013,11,16,0,11.7
2013,11,16,1,11.7
2013,11,16,2,11.7
2013,11,16,3,11.6
2013,11,16,4,11.6
2013,11,16,5,11.7
2013,11,16,6,11.7
2013,11,16,7,11.7
2013,11,16,8,11.7
2013,11,16,9,11.6
2013,11,16,10,11.6
2013,11,16,11,11.6
2013,11,16,12,11.5
2013,11,16,13,11.5
2013,11,16,14,11.5
2013,11,16,15,11.5
2013,11,16,16,11.5
2013,11,16,17,11.5
2013,11,16,18,11.6
2013,11,16,19,11.6
2013,11,16,20,11.6
2013,11,16,21,11.6
2013,11,16,22,11.6
2013,11,16,23,11.6
2013,11,17,0,11.6
2013,11,17,1,11.7
2013,11,17,2,11.7
2013,11,17,3,11.8
2013,11,17,4,11.8
2013,11,17,5,11.8
2013,11,17,6,11.8
2013,11,17,7,11.8
2013,11,17,8,11.8
2013,11,17,9,11.8
2013,11,17,10,11.8
2013,11,17,11,11.8
2013,11,17,12,11.8
2013,11,17,13,11.8
2013,11,17,14,11.8
2013,11,17,15,11.8
2013,11,17,16,12.1
2013,11,17,17,12.1
2013,11,17,18,12.2
2013,11,17,19,12.2
2013,11,17,20,12.1
2013,11,17,21,12.2
2013,11,17,22,12.2
