Y,M,D,h,min,SAL
2013,5,5,4,20,33.3
2013,5,5,4,30,33.3
2013,5,5,4,40,33.3
2013,5,5,4,50,33.3
2013,5,5,5,0,33.3
2013,5,5,5,10,33.3
2013,5,5,5,20,33.3
2013,5,5,5,30,33.3
2013,5,5,5,40,33.3
2013,5,5,5,50,33.2
2013,5,5,6,0,33.3
2013,5,5,6,10,33.2
2013,5,5,6,20,33.2
2013,5,5,6,30,33.2
2013,5,5,6,40,33.2
2013,5,5,6,50,33.2
2013,5,5,7,0,33.2
2013,5,5,7,10,33.2
2013,5,5,7,20,33.2
2013,5,5,7,30,33.2
2013,5,5,7,40,33.1
2013,5,5,7,50,33.2
2013,5,5,8,0,33.2
2013,5,5,8,10,33.2
2013,5,5,8,20,33.2
2013,5,5,8,30,33.2
2013,5,5,8,40,33.2
2013,5,5,8,50,33.2
2013,5,5,9,0,33.2
2013,5,5,9,10,33.2
2013,5,5,9,20,33.2
2013,5,5,9,30,33.2
2013,5,5,9,40,33.2
2013,5,5,9,50,33.2
2013,5,5,10,0,33.2
2013,5,5,10,10,33.2
2013,5,5,10,20,33.2
2013,5,5,10,30,33.2
2013,5,5,10,40,33.2
2013,5,5,10,50,33.2
2013,5,5,11,0,33.2
2013,5,5,11,10,33.2
2013,5,5,11,20,33.2
2013,5,5,11,30,33.2
2013,5,5,11,40,33.2
2013,5,5,11,50,33.2
2013,5,5,12,0,33.2
2013,5,5,12,10,33.2
2013,5,5,12,20,33.2
2013,5,5,12,30,33.2
2013,5,5,12,40,33.1
2013,5,5,12,50,33.1
2013,5,5,13,0,33.1
2013,5,5,13,10,33.1
2013,5,5,13,20,33.1
2013,5,5,13,30,33
2013,5,5,13,40,33
2013,5,5,13,50,33.1
2013,5,5,14,0,33
2013,5,5,14,10,33
2013,5,5,14,20,33
2013,5,5,14,30,33
2013,5,5,14,40,33
2013,5,5,14,50,33
2013,5,5,15,0,32.9
2013,5,5,15,10,32.9
2013,5,5,15,20,33
2013,5,5,15,30,33
2013,5,5,15,40,32.9
2013,5,5,15,50,32.9
2013,5,5,16,0,33
2013,5,5,16,10,33
2013,5,5,16,20,33
2013,5,5,16,30,33
2013,5,5,16,40,33
2013,5,5,16,50,33
2013,5,5,17,0,33
2013,5,5,17,10,33
2013,5,5,17,20,33
2013,5,5,17,30,33
2013,5,5,17,40,33
2013,5,5,17,50,33
2013,5,5,18,0,32.9
2013,5,5,18,10,32.9
2013,5,5,18,20,32.9
2013,5,5,18,30,32.8
2013,5,5,18,40,32.8
2013,5,5,18,50,32.8
2013,5,5,19,0,32.8
2013,5,5,19,10,32.8
2013,5,5,19,20,32.9
2013,5,5,19,30,32.8
2013,5,5,19,40,32.8
2013,5,5,19,50,32.8
2013,5,5,20,0,32.7
2013,5,5,20,10,32.8
2013,5,5,20,20,32.7
2013,5,5,20,30,32.8
2013,5,5,20,40,32.8
2013,5,5,20,50,32.8
2013,5,5,21,0,32.8
2013,5,5,21,10,32.8
2013,5,5,21,20,32.9
2013,5,5,21,30,32.8
2013,5,5,21,40,32.9
2013,5,5,21,50,32.9
2013,5,5,22,0,32.9
2013,5,5,22,10,32.9
2013,5,5,22,20,32.9
2013,5,5,22,30,32.9
2013,5,5,22,40,32.9
2013,5,5,22,50,32.8
2013,5,5,23,0,32.8
2013,5,5,23,10,32.8
2013,5,5,23,20,32.8
2013,5,5,23,30,32.9
2013,5,5,23,40,32.8
2013,5,5,23,50,32.9
2013,5,6,0,0,32.9
2013,5,6,0,10,32.8
2013,5,6,0,20,32.8
2013,5,6,0,30,32.9
2013,5,6,0,40,32.8
2013,5,6,0,50,32.9
2013,5,6,1,0,32.9
2013,5,6,1,10,32.9
2013,5,6,1,20,32.9
2013,5,6,1,30,32.9
2013,5,6,1,40,32.9
2013,5,6,1,50,32.8
2013,5,6,2,0,32.8
2013,5,6,2,10,32.8
2013,5,6,2,20,32.7
2013,5,6,2,30,32.7
2013,5,6,2,40,32.6
2013,5,6,2,50,32.6
2013,5,6,3,0,32.6
2013,5,6,3,10,32.6
2013,5,6,3,20,32.6
2013,5,6,3,30,32.6
2013,5,6,3,40,32.6
2013,5,6,3,50,32.6
2013,5,6,4,0,32.6
2013,5,6,4,10,32.6
2013,5,6,4,20,32.6
2013,5,6,4,30,32.6
