DN,C,S,T,P
735583.8055555555,30.733450310042073,28.465971255687073,8.87,
735583.8090277778,30.712683709742205,28.444721243841208,8.87,
735583.8125,30.718646444441674,28.434816929409575,8.89,
735583.8159722221,30.724506335824525,28.43281062127625,8.899999999664724,
735583.8194444444,30.709702328460946,28.425670180460866,8.890000000335277,
735583.8229166666,30.703842342543595,28.435674687649136,8.87,
735583.8263888889,30.59773912918808,28.327138089532617,8.87,
735583.8298611111,30.484115815307135,28.242750091141733,8.83,
735583.8333333333,30.34301465412641,28.106321996832783,8.820000000335275,
735583.8368055555,30.07224900646878,27.85305177796324,8.79,
735583.8402777778,30.19262638707652,27.984055169585268,8.78,
735583.84375,30.243445387393212,28.02816895492013,8.79,
735583.8472222221,30.122460616098675,27.912262152451618,8.780000000335276,
735583.8506944444,30.03613101061923,27.839649913346083,8.760000000670551,
735583.8541666666,29.863019524119423,27.686001853206577,8.73,
735583.8576388889,29.716929396132564,27.544335854685386,8.72,
735583.8611111111,29.53865281409918,27.385232919027445,8.69,
735583.8645833333,29.257938632599746,27.14423386340469,8.630000002011657,
735583.8680555555,29.060140102750776,26.94954810279611,8.62,
735583.8715277778,28.90566187030675,26.79921333799577,8.61,
735583.875,28.87613847298954,26.76148002973876,8.62,
735583.8784722221,28.652114400726656,26.577747281279876,8.560000002011657,
735583.8819444444,28.355829989582066,26.31224713949973,8.51000000167638,
735583.8854166666,28.07282028437836,26.045220334674003,8.48,
735583.8888888889,28.02978292106138,26.008610439300003,8.47,
735583.8923611111,27.58609983380142,25.599168758424046,8.41,
735583.8958333333,27.35552712847131,25.385360526182474,8.380000001005829,
735583.8993055555,27.043711162941264,25.088520322907467,8.35,
735583.9027777778,26.812602435517547,24.85986293018215,8.34,
735583.90625,26.578423315831355,24.642191684470944,8.31,
735583.9097222221,26.49623607093577,24.55843486181115,8.31,
735583.9131944444,26.718747500543586,24.75716808765362,8.349999998658895,
735583.9166666666,25.937604819034675,24.01046904542322,8.28,
735583.9201388889,26.09901632337624,24.181545002203585,8.27,
735583.9236111111,26.296983471507776,24.35551804108626,8.31,
735583.9270833333,26.418472929549864,24.479217897869862,8.31,
735583.9305555555,25.7411130710285,23.837804497520782,8.24,
735583.9340277778,26.293162071998584,24.35162832023041,8.31,
735583.9375,25.813133034709033,23.90427949715049,8.25,
735583.9409722221,26.123637629716075,24.199741320817083,8.279999998994171,
735583.9444444444,25.89101546649286,23.983515434937065,8.250000001005828,
735583.9479166666,25.809374290522328,23.900456209017015,8.25,
735583.9513888889,25.73196599452063,23.82173463581342,8.25,
735583.9548611111,25.379178717340643,23.476679881998,8.23,
735583.9583333333,26.79462111203372,24.86268027885033,8.309999997317792,
735583.9618055555,27.340810030297934,25.377525648859606,8.37,
735583.9652777778,27.592554646812257,25.605761961479782,8.41,
735583.96875,27.42115023348307,25.45238240607353,8.38,
735583.9722222221,26.984382066272246,25.035084409197637,8.340000001341105,
735583.9756944444,26.27585575012996,24.361655293344366,8.270000002346933,
735583.9791666666,26.3681540964444,24.455723512896636,8.27,
735583.9826388889,26.283501036487024,24.383289558239685,8.25,
735583.9861111111,26.07256717704994,24.175207071884994,8.24,
735583.9895833333,25.7613360227895,23.86515250866332,8.230000000335275,
735583.9930555555,25.65309580360175,23.76855061464399,8.21,
735583.9965277778,25.38276798624459,23.500348271081435,8.2,
735584.0,25.3467477261979,23.457072214255476,8.21,
735584.0034722221,25.280473275982544,23.389750945448238,8.21,
735584.0069444444,25.19129547941033,23.29920003427359,8.21,
735584.0104166666,24.873312584706984,22.98318291600607,8.2,
735584.0138888889,24.716090176043913,22.8368283607495,8.18,
735584.0173611111,24.669051155140654,22.750338146101324,8.24,
735584.0208333333,24.495757783193522,22.47290202726137,8.399999994635582,
735584.0243055555,24.08201531033384,22.06956012179489,8.38,
735584.0277777778,23.01310678878549,21.18442565964877,8.07,
735584.03125,21.784363391995676,20.110127452822212,7.79,
735584.0347222221,20.87392880602779,19.309358224428504,7.580000007040798,
735584.0381944444,20.997677156408585,19.412132938715168,7.619999998658896,
735584.0416666666,22.515010334691144,20.742103066307305,7.97,
735584.0451388889,22.1716628530447,20.419591777290144,7.93,
735584.0486111111,22.354544678835214,20.568677768649934,7.99,
735584.0520833333,22.046993523976127,20.282467566854034,7.950000001341105,
735584.0555555555,21.810280464972642,20.078816214948663,7.89,
735584.0590277778,21.553056578036433,19.85409380160073,7.83,
735584.0625,21.630520268676925,19.915024536977363,7.86,
735584.0659722221,21.532136912538554,19.82169758534513,7.8500000003352755,
735584.0694444444,21.48546192519402,19.77473992109139,7.85,
735584.0729166666,21.491990827059606,19.7756560826632,7.86,
735584.0763888889,21.392516142393408,19.681266915508004,7.85,
735584.0798611111,21.5272650481701,19.805474805423312,7.87,
735584.0833333333,21.122152983036823,19.426291973745148,7.82000000167638,
735584.0868055555,20.732342367957244,19.067735937017588,7.76,
735584.0902777778,19.806327574995564,18.20258835657616,7.64,
735584.09375,19.16479801929427,17.626275024460007,7.51,
735584.0972222221,20.63335637800422,18.984644750915766,7.729999992623926,
735584.1006944444,20.327325440835132,18.698866772743173,7.6900000013411045,
735584.1041666666,19.607892649777607,18.045140662341602,7.56,
735584.1076388889,20.006763812376782,18.403649074430717,7.64,
735584.1111111111,20.230418831781737,18.617592582462525,7.66,
735584.1145833333,20.167096865742764,18.559324345954018,7.650000000335277,
735584.1180555555,19.871428037960193,18.28359302612636,7.61,
735584.1215277778,19.527615850409017,17.969745115393074,7.55,
735584.125,17.664930751678618,16.269256935582366,7.21,
735584.1284722221,17.58656851991463,16.209464347862628,7.170000001341105,
735584.1319444444,16.548412040595238,15.250926188744113,6.99000000603497,
735584.1354166666,17.866285916170952,16.42371416820732,7.31,
735584.1388888889,16.336682093889955,15.056462528740777,6.95,
735584.1423611111,16.00379011154774,14.79208041833448,6.79,
735584.1458333333,16.252735150020914,15.007243592989896,6.869999997317791,
735584.1493055555,17.8399574716263,16.463787737990927,7.17,
735584.1527777778,16.159228903232822,14.913468783796711,6.87,
735584.15625,15.934889846507682,14.718645154978878,6.8,
735584.1597222221,15.645137726368148,14.449274949053272,6.750000001676381,
735584.1631944444,15.831000261376804,14.61871820237983,6.789999998658895,
735584.1666666666,15.569853377583039,14.373808098936596,6.75,
735584.1701388889,16.002403887722554,14.790688820593807,6.79,
735584.1736111111,15.798658801876165,14.599033742945476,6.76,
735584.1770833333,15.822889624427088,14.623348974374995,6.76,
735584.1805555555,16.268904860225184,15.054073618351795,6.8,
735584.1840277778,17.771015819280578,16.499343150984078,6.95,
735584.1875,18.508798822108368,17.201566962586995,7.04,
735584.1909722221,19.49854590529833,18.13808141901863,7.169999995641411,
735584.1944444444,20.813107306164376,19.386840720981056,7.329999994635582,
735584.1979166666,22.31982002526531,20.81781552538167,7.51,
735584.2013888889,24.97695461503271,23.2864670169586,7.9,
735584.2048611111,26.602063447150865,24.736436435291694,8.21,
735584.2083333333,27.797759811239345,25.808161270485037,8.4199999929592,
735584.2118055555,28.23054883137284,26.184209601870297,8.51,
735584.2152777778,28.59444438056571,26.503812532658113,8.58,
735584.21875,29.13574803684655,26.981133792433543,8.68,
735584.2222222221,30.050022785528824,27.806820883680782,8.819999995306134,
735584.2256944444,30.536353646511323,28.240524800804693,8.899999997317792,
735584.2291666666,30.671251911678084,28.34646999930633,8.94,
735584.2326388889,30.709702327964603,28.385731478827957,8.94,
735584.2361111111,30.778066112474793,28.455554649897223,8.94,
735584.2395833333,30.81096123564043,28.473150729647827,8.95999999932945,
735584.2430555555,30.846939031254355,28.509890247524442,8.96,
735584.2465277778,30.85588188457656,28.535058582741247,8.94,
735584.25,30.90110892430007,28.565218604197362,8.96,
735584.2534722221,30.91919919572163,28.58369884805634,8.96,
735584.2569444444,30.934308450747338,28.599135002464227,8.96,
735584.2604166666,30.979840522523208,28.637610610899547,8.97,
735584.2638888889,30.98898782459148,28.65500644512746,8.96,
735584.2673611111,30.949520277920335,28.63076648660231,8.94,
735584.2708333333,30.964629112930744,28.630114938145933,8.95999999932945,
735584.2743055555,30.97377653966995,28.639462115520196,8.96,
735584.2777777778,31.019512558326042,28.6862028122091,8.96,
735584.28125,31.05311966719027,28.736703987350527,8.94,
735584.2847222221,31.03780645635936,28.721041971476907,8.94,
735584.2881944444,31.02865954332856,28.6874896514408,8.969999998994172,
735584.2916666666,31.02865954302188,28.68748965031587,8.97,
735584.2951388889,31.043870100248967,28.711099457525528,8.96,
735584.2986111111,31.037806455845946,28.704901344284046,8.96,
735584.3020833333,31.037806455845946,28.721041970410642,8.940000000670551,
735584.3055555555,31.05918323298305,28.72675295318831,8.96,
735584.3090277778,31.102243946888304,28.76269313311029,8.97,
735584.3125,31.092994757764988,28.761319935232315,8.96,
735584.3159722221,31.050036487694953,28.709334310759992,8.969999999664724,
735584.3194444444,31.07459893864449,28.73443684517605,8.97,
735584.3229166666,31.083745498544317,28.743785251130976,8.97,
735584.3263888889,31.074598939468007,28.734436846017676,8.97,
735584.3298611111,31.05918323298305,28.718681842342644,8.97,
735584.3333333333,31.083745497720802,28.74378525028932,8.97,
735584.3368055555,31.089911679170275,28.73393850120883,8.99,
735584.3402777778,31.108410034262548,28.75283611147288,8.99,
735584.34375,31.083745498544317,28.743785251130976,8.97,
735584.3472222221,31.123722350306725,28.784648958726564,8.97,
735584.3506944444,31.108410034775936,28.75283611253949,8.989999999329449,
735584.3541666666,31.132971311288408,28.777930002321305,8.99,
735584.3576388889,31.089911679170275,28.73393850120883,8.99,
735584.3611111111,31.10532699443452,28.765844576462165,8.97,
735584.3645833333,31.074598940498245,28.7344368470707,8.97,
735584.3680555555,31.074598939468007,28.734436846017676,8.97,
735584.3715277778,31.09916089160637,28.743387139677058,8.99,
735584.375,31.083745498544317,28.743785251130976,8.97,
735584.3784722221,31.050036487384848,28.71740277027557,8.960000000335278,
735584.3819444444,31.068432680067247,28.736208524475455,8.96,
735584.3854166666,31.02865954302188,28.69555191682003,8.96,
735584.3888888889,31.043870100248967,28.727243600413498,8.94,
735584.3923611111,31.00728220722345,28.69789261459296,8.93,
735584.3958333333,30.94037265304307,28.629462309955606,8.93,
735584.3993055555,30.91015409864647,28.606606175894626,8.92,
735584.4027777778,30.85588188457656,28.567171912806,8.9,
735584.40625,30.831931307641522,28.542670901367035,8.9,
735584.4097222221,30.76316014543607,28.480344766880748,8.890000000335277,
735584.4131944444,30.718646445934112,28.450822571840757,8.87000000067055,
735584.4166666666,30.647707930647048,28.386233780864384,8.86,
735584.4201388889,30.612442184138178,28.35813338881194,8.85,
735584.4236111111,30.460875028288896,28.226916605759243,8.82,
