DN,C,R,P,S,T
735541.0347222222,24.84226842633307,1016.2264220907476,2.340122992083672,21.363499592888722,10.778807499286321
735541.0381944445,24.835099952143683,1016.2270975381799,2.3338976340733035,21.36250451333672,10.768741440637152
735541.0416666667,24.82136558805667,1016.2219210071145,2.2880588480392072,21.3545323186376,10.760333934569479
735541.0451388889,24.823411609177594,1016.2274777305187,2.2340877572994473,21.360575742172202,10.753228234520881
735541.0486111111,24.86278396212942,1016.2421382555858,2.230885616773895,21.384100872913084,10.776700872913086
735541.0520833334,24.888981823794694,1016.2443908956521,2.200001304410294,21.392465651778725,10.804684126482458
735541.0555555556,24.94770017821656,1016.2783610378451,2.1699952699682283,21.439308468584166,10.819240910520646
735541.0590277779,24.99455223997443,1016.2972245750325,2.0852140330134814,21.468981245795792,10.844100102037677
735541.0625,25.07861323567024,1016.3122364660461,2.08885607348528,21.50325471902516,10.920973435476384
735541.0659722222,25.154214639253965,1016.3541247068378,2.091860494932861,21.561556259031654,10.942909431866212
735541.0694444445,25.218864467519012,1016.4112648845525,2.0580127698103787,21.632209394018485,10.926069876968683
735541.0729166667,25.27129800558793,1016.4583097797371,2.057873015873016,21.69006606954911,10.911757875526778
735541.0763888889,25.30037454165846,1016.4825039839188,2.057873015873016,21.720280079500334,10.90691912353483
735541.0798611111,25.290322960699587,1016.4791147269784,2.003104439817908,21.71492314239449,10.900029033185815
735541.0833333334,25.164882028633254,1016.4116806650133,2.0008813073062,21.620194257647892,10.860165828663675
735541.0868055556,24.918009858687608,1016.2527503496481,1.9998770984194567,21.408267132864037,10.824545338653296
735541.0902777779,24.698023692759424,1016.1139574828787,1.9978810545590835,21.22234679393569,10.787847509889342
735541.09375,24.441021334661198,1015.9440217294268,1.9958815018157179,20.99735551714825,10.757926864843396
735541.0972222222,24.175002319427815,1015.7618617824378,1.9948771968962749,20.75869801025192,10.737286129079136
735541.1006944445,23.981455679878366,1015.6176929612508,1.994873015873016,20.57366096693848,10.742478175731742
735541.1041666667,23.905864501674778,1015.5513676046676,1.9958689612568403,20.491830045756682,10.761721745907812
735541.1076388889,23.880480504617765,1015.5198253314137,1.9988610415341241,20.455444490355962,10.784309793313682
735541.1111111111,23.866638168138582,1015.5221894622938,2.0018603706254994,20.454403793574254,10.762891045782123
735541.1145833334,23.851413251608413,1015.524092109123,2.012827331848555,20.45250789087695,10.740592613976863
735541.1180555556,23.847446032498087,1015.5370468310012,2.035778947644441,20.463952965885714,10.7135108369128
735541.1215277779,23.842868442375654,1015.5266422805555,2.0587804013227955,20.452745501931194,10.725750068677272
735541.125,23.822427175276278,1015.5100705562938,2.07779225866925,20.431789257962055,10.728787248862561
735541.1284722222,23.738980610958983,1015.4649893156773,2.106751552274753,20.36836638223619,10.701913086798383
735541.1319444445,23.60695543346751,1015.3533616094767,2.1317698859631107,20.22947422733835,10.728788207177661
735541.1354166667,23.52831850085955,1015.2983225972083,2.1756942881875134,20.157491244887513,10.725414216974983
735541.1388888889,23.36662789468701,1015.1989978861952,2.209737054761066,20.023237846163454,10.693527963399484
735541.1423611111,23.064129953409772,1014.9825162731828,2.2696196684491827,19.742687354926364,10.687823645759558
735541.1458333334,22.774902999806162,1014.7721749467725,2.2788355716459527,19.471527903328557,10.688497087671227
735541.1493055556,22.58095299134953,1014.6360564132751,2.310741902288305,19.29432440255553,10.680532778396177
735541.1527777779,22.339275686486555,1014.4683769213283,2.3407519929895444,19.075383870458957,10.66715405688795
735541.15625,22.14261673373006,1014.3917248665969,2.3826941902234,18.954214336630326,10.546416039731747
735541.1597222222,22.20047270093421,1014.400163077167,2.4585541368604584,18.976006014606824,10.6088348269264
735541.1631944445,21.429390801717002,1013.8527716753435,2.4827738341225247,18.266444871475006,10.589083064716036
735541.1666666667,21.251145232364557,1013.7291956491921,2.534661408664566,18.10514702973353,10.579737845135357
735541.1701388889,21.28832756284293,1013.8011087468773,2.5428409660108198,18.18228711322031,10.49404453601861
735541.1736111111,21.417173336579417,1013.8842480780208,2.6016234558156475,18.292732180638218,10.513714980387235
735541.1770833334,21.550165672012582,1013.9454453425561,2.6506687897723875,18.38332280689578,10.580321585642409
735541.1805555556,21.616090569054197,1013.9842411490312,2.695688305443992,18.43618368356423,10.59743063097221
735541.1840277779,21.67681468058271,1014.0329031786553,2.741687106594676,18.497153468130897,10.588934756952037
735541.1875,21.778674743675154,1014.1552766687794,2.77572800151687,18.63829648437074,10.498188553171909
735541.1909722222,21.960693548958005,1014.3172186634829,2.798776342585569,18.8369639862229,10.443429493978025
735541.1944444445,22.091280316167946,1014.5034287273863,2.8645997791983016,19.046432680555263,10.27639344156083
735541.1979166667,21.855029287113314,1014.3911627106636,2.8907670204787266,18.881777555174263,10.16445537252085
735541.2013888889,21.776522459485186,1014.3940863537283,2.9466482537513645,18.865662210944386,10.052648721521438
735541.2048611111,22.184422957442205,1014.7257885867156,2.9797331880783897,19.282525881890603,9.995939402133224
735541.2083333334,22.471015667979625,1014.9508622374698,3.0465932737112777,19.567612139626647,9.972796030891342
735541.2118055556,22.840847882557224,1015.2341342330479,3.077745542238031,19.929112259318135,9.956765792843862
735541.2152777779,23.235561541641683,1015.5339857401108,3.1067555982778607,20.31284603886136,9.945445752373285
735541.21875,23.89529604672189,1016.0301761389878,3.116830290847627,20.949773716129933,9.938031616518789
735541.2222222222,24.680232939646686,1016.6183220837031,3.199523539148047,21.70561555123983,9.937502105281476
735541.2256944445,25.524826380334932,1017.2475896729161,3.2436905335220616,22.516237347951044,9.94676142986673
735541.2291666667,26.56591496305057,1018.0296037396176,3.29366880807962,23.52278602979425,9.953472636155686
735541.2326388889,27.56399769933903,1018.7874532989148,3.319768470237258,24.496585168039445,9.953201206295798
735541.2361111111,28.300846134106852,1019.352205613416,3.360698986711623,25.221327324147985,9.949117402916139
735541.2395833334,28.86187667995908,1019.7796148523097,3.383776815318012,25.77090457110494,9.951689125154653
735541.2430555556,29.372268456116856,1020.1679012365363,3.421716476291404,26.27034356423314,9.9562810504717
735541.2465277779,29.87867607255693,1020.5573204926409,3.450755384354237,26.770371870365878,9.9563
735541.25,30.09552673774308,1020.7267784071179,3.5175862618807416,26.986977679323356,9.95351198374893
735541.2534722222,30.543914626646277,1021.0748287826557,3.549738041804743,27.433213737395878,9.95081138843701
735541.2569444445,30.874658034074656,1021.3325309949955,3.566802385927129,27.763529779049794,9.948210802227019
735541.2604166667,31.157314387586517,1021.54901500154,3.6465456932803284,28.04156337229689,9.95178527048333
735541.2638888889,31.33428887316229,1021.6832606022571,3.6757561933595984,28.21460470462704,9.955684289386125
735541.2673611111,31.548279266666885,1021.8461069259382,3.6679070317778897,28.424506657298252,9.95988214164994
735541.2708333334,31.710222433585226,1021.9736661928066,3.727621615310984,28.58741828547596,9.957808799019672
735541.2743055556,31.883614282274998,1022.1081449401256,3.781650166555423,28.759888120235466,9.95849711121255
